,priority,rule,source,tags,time,output_fields.container.id,output_fields.container.image.repository,output_fields.evt.time,output_fields.fd.name,output_fields.proc.aname[2],output_fields.proc.aname[3],output_fields.proc.aname[4],output_fields.proc.cmdline,output_fields.proc.name,output_fields.proc.pname,output_fields.user.loginuid,output_fields.user.name,output_fields.proc.pcmdline,output_fields.evt.arg.uid,output_fields.user.uid,output_fields.container.name,output_fields.proc.tty,output_fields.container.image.tag,output_fields.container.mounts,is_run_as_root,is_bash_in_args,is_sh_in_args,is_passwd_in_open_args,is_proc_in_open_args,n_failed_syscalls
544,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:40:22.280364606Z,host,,1639424422280364606,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
545,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:40:22.284936930Z,host,,1639424422284936930,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
546,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:45:22.203156300Z,host,,1639424722203156300,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
547,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:45:22.228521653Z,host,,1639424722228521653,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
548,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:50:22.063185101Z,host,,1639425022063185101,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
549,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:50:22.064661599Z,host,,1639425022064661599,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
550,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:55:22.110702464Z,host,,1639425322110702464,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
551,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:55:22.112851480Z,host,,1639425322112851480,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
552,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T20:00:21.904572698Z,host,,1639425621904572698,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
553,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T20:00:21.914579270Z,host,,1639425621914579270,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
554,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T20:05:22.000205642Z,host,,1639425922000205642,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
555,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T20:05:22.019252432Z,host,,1639425922019252432,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
556,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T20:10:22.165204671Z,host,,1639426222165204671,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
557,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T20:10:22.167763883Z,host,,1639426222167763883,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
558,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T20:15:21.962245415Z,host,,1639426521962245415,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
